Account Name,License Name,License Creation Date,License Expiry Date,License Class,Attribute Type,Cluster Name,License Type,License Status,Entitled Quantity,Reserved Quantity,Quantity Used by Cluster,Total Quantity Used,Unused Quantity,Cluster UUID,Cluster Tag,Managing PC Name,Managing PC UUID,SW Asset Serial Number,Node Count,Licenses Sales Order,Block Count,Support Start Date,Support Level,Is Invalid License,Product,License Asset Model,License SKU,Reserved Quantity on AWS,Purchased Quantity,Cluster Core Capacity,Cluster Flash Capacity (TiB),Cluster Flash Capacity (TB),Powered-On User VM Count,AOS Version,Last Pulse,PE Cluster Names,PE Cluster UUIDs,Account Type,Account ID,Theater,Region,Sub-Region,License Tag,License Tag (Internal),License File Name,License File Creation Date,Last Sales,Resale,Renewable,Reserved Quantity on Azure,Is Seamlessly Licensed
"WhiteCap Resources","LIC-02503297","2024-11-25","2026-02-06","software_only","VM","WC-WCO-NXA","NCI Edge Pro","Activated","2.00","0.0","1.00","2.00","0.00","0005e702-70d1-2bb6-4683-3ceceffe1d6e","-","PRISM.WCAP.CA","8606610f-7ab8-409d-9687-50bedb2cdb1f","24SW000387236",1,"SO-150385",1,"2024-11-25","Production",False,"NCI Edge","Not Applicable","SW-NCI-E-PRO-PR","0",2.0,"0.0","3.49 TiB","3.84 TB","0","6.10.1","2025-09-08","-","-","Customer","0013200001BbN8ZAAV",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-02143462","2022-11-01","2025-08-25","For Resale","Renewable","0","TRUE"
"WhiteCap Resources","LIC-02503297","2024-11-25","2026-02-06","software_only","VM","WC-WAP-NXA","NCI Edge Pro","Activated","2.00","0.0","1.00","2.00","0.00","0006051a-66b0-8597-37b6-3cecefd475d3","-","PRISM.WCAP.CA","8606610f-7ab8-409d-9687-50bedb2cdb1f","24SW000387236",1,"SO-150385",1,"2024-11-25","Production",False,"NCI Edge","Not Applicable","SW-NCI-E-PRO-PR","0",2.0,"8.0","3.49 TiB","3.84 TB","2","6.10.1","2025-10-23","-","-","Customer","0013200001BbN8ZAAV",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-04735762","2023-10-16","2025-08-25","For Resale","Renewable","0","TRUE"
"WhiteCap Resources","LIC-02503298","2024-11-25","2026-08-07","software_only","VM","WC-GPO-NXA","NCI Edge Pro","Activated","2.00","0.0","1.00","2.00","0.00","0005f539-9244-cb21-751e-3cecefd47569","-","PRISM.WCAP.CA","8606610f-7ab8-409d-9687-50bedb2cdb1f","24SW000387238",1,"SO-162951",1,"2024-11-25","Production",False,"NCI Edge","Not Applicable","SW-NCI-E-PRO-PR","0",2.0,"0.0","3.49 TiB","3.84 TB","0","6.10.1","2025-09-08","-","-","Customer","0013200001BbN8ZAAV",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-03358502","2023-02-28","2025-08-25","For Resale","Renewable","0","TRUE"
"WhiteCap Resources","LIC-02503298","2024-11-25","2026-08-07","software_only","VM","WC-WCO-NXA","NCI Edge Pro","Activated","2.00","0.0","1.00","2.00","0.00","0005e702-70d1-2bb6-4683-3ceceffe1d6e","-","PRISM.WCAP.CA","8606610f-7ab8-409d-9687-50bedb2cdb1f","24SW000387238",1,"SO-162951",1,"2024-11-25","Production",False,"NCI Edge","Not Applicable","SW-NCI-E-PRO-PR","0",2.0,"0.0","3.49 TiB","3.84 TB","0","6.10.1","2025-09-08","-","-","Customer","0013200001BbN8ZAAV",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-02143462","2022-11-01","2025-08-25","For Resale","Renewable","0","TRUE"
"WhiteCap Resources","LIC-02503299","2024-11-25","2026-08-08","software_only","VM","WC-KBP-NXB","NCI Edge Pro","Activated","2.00","0.0","2.00","2.00","0.00","0005e716-0b5a-1bf7-1c68-3ceceffe1b50","-","PRISM.WCAP.CA","8606610f-7ab8-409d-9687-50bedb2cdb1f","24SW000387239",3,"SO-162958",3,"2024-11-25","Production",False,"NCI Edge","Not Applicable","SW-NCI-E-PRO-PR","0",2.0,"48.0","20.95 TiB","23.04 TB","14","6.10.1","2025-10-23","-","-","Customer","0013200001BbN8ZAAV",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-02143488","2022-11-01","2025-08-25","For Resale","Renewable","0","TRUE"
"WhiteCap Resources","LIC-02503300","2024-11-25","2026-08-08","software_only","VM","WC-KBP-NXB","NCI Edge Pro","Activated","2.00","0.0","1.00","2.00","0.00","0005e716-0b5a-1bf7-1c68-3ceceffe1b50","-","PRISM.WCAP.CA","8606610f-7ab8-409d-9687-50bedb2cdb1f","24SW000387240",3,"SO-162959",3,"2024-11-25","Production",False,"NCI Edge","Not Applicable","SW-NCI-E-PRO-PR","0",2.0,"48.0","20.95 TiB","23.04 TB","14","6.10.1","2025-10-23","-","-","Customer","0013200001BbN8ZAAV",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-02143488","2022-11-01","2025-08-25","For Resale","Renewable","0","TRUE"
"WhiteCap Resources","LIC-02503300","2024-11-25","2026-08-08","software_only","VM","WC-SWC-NXA","NCI Edge Pro","Activated","2.00","0.0","1.00","2.00","0.00","0005a7ac-2a32-57d7-0000-000000027ccb","-","PRISM.WCAP.CA","8606610f-7ab8-409d-9687-50bedb2cdb1f","24SW000387240",1,"SO-162959",1,"2024-11-25","Production",False,"NCI Edge","Not Applicable","SW-NCI-E-PRO-PR","0",2.0,"0.0","1.75 TiB","1.92 TB","0","6.10.1","2025-07-11","-","-","Customer","0013200001BbN8ZAAV",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-01753930","2022-08-09","2025-08-25","For Resale","Renewable","0","TRUE"
"WhiteCap Resources","LIC-02503440","2024-11-26","2026-08-02","software_only","CORES","PRISM.WCAP.CA","NCM Starter","Activated","23.00","0.0","23.00","23.00","0.00","8606610f-7ab8-409d-9687-50bedb2cdb1f","-","Not Applicable","Not Applicable","24SW000387553",0,"SO-137063",-,"2024-11-26","Production",False,"NCM","Not Applicable","SW-NCM-STR-PR","0",23.0,"0.0","0","0","0","2024.3.1.7","2025-10-23","WC-CGY-NXE","00061755-a6a5-3a82-390b-043201f0fd0a","Customer","0013200001BbN8ZAAV",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-11696964","2025-07-25","2025-08-25","For Resale","Renewable","0","TRUE"
"WhiteCap Resources","LIC-02514477","2025-02-05","2028-02-03","software_only","VM","PRISM.WCAP.CA","NCM Edge Starter","Activated","3.00","0.0","3.00","3.00","0.00","8606610f-7ab8-409d-9687-50bedb2cdb1f","-","Not Applicable","Not Applicable","25SW000403109",0,"SO-202310",-,"2025-02-04","Production",False,"NCM Edge","Not Applicable","SW-NCM-E-STR-PR","0",3.0,"0.0","0","0","0","2024.3.1.7","2025-10-23","WC-DUV-NXA, WC-BUT-NXA, WC-OLDS-NXA","00061a29-6e0f-ec03-7d55-7cc255e24fe7, 000619c2-e438-a495-7e41-3cecefdb38c5, 00061a02-c6d8-af73-118f-7cc255e25075","Customer","0013200001BbN8ZAAV",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-11696964","2025-07-25","2025-08-25","For Resale","Renewable","0","TRUE"
"WhiteCap Resources","LIC-02514478","2025-02-05","2028-02-03","software_only","VM","WC-GLNNTNX01","NCI Edge Pro","Activated","3.00","0.0","2.00","3.00","0.00","0005a0fe-ace6-1f1b-0000-00000002b8a5","-","PRISM.WCAP.CA","8606610f-7ab8-409d-9687-50bedb2cdb1f","25SW000403110",1,"SO-202310",1,"2025-02-04","Production",False,"NCI Edge","Not Applicable","SW-NCI-E-PRO-PR","0",3.0,"8.0","1.75 TiB","1.92 TB","3","6.10.1","2025-10-23","-","-","Customer","0013200001BbN8ZAAV",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-00407356","2020-09-15","2025-08-25","For Resale","Renewable","0","TRUE"
"WhiteCap Resources","LIC-02514478","2025-02-05","2028-02-03","software_only","VM","WC-EST-NXA","NCI Edge Pro","Activated","3.00","0.0","1.00","3.00","0.00","00061972-1b06-3393-1190-7cc255e1e208","-","PRISM.WCAP.CA","8606610f-7ab8-409d-9687-50bedb2cdb1f","25SW000403110",1,"SO-202310",1,"2025-02-04","Production",False,"NCI Edge","Not Applicable","SW-NCI-E-PRO-PR","0",3.0,"8.0","0","0","2","6.10.1","2025-10-23","-","-","Customer","0013200001BbN8ZAAV",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","Not Found","-","2025-08-25","For Resale","Renewable","0","TRUE"
"WhiteCap Resources","LIC-02514803","2025-02-07","2028-02-05","software_only","VM","PRISM.WCAP.CA","NCM Edge Starter","Activated","3.00","0.0","3.00","3.00","0.00","8606610f-7ab8-409d-9687-50bedb2cdb1f","-","Not Applicable","Not Applicable","25SW000403758",0,"SO-203382",-,"2025-02-06","Production",False,"NCM Edge","Not Applicable","SW-NCM-E-STR-PR","0",3.0,"0.0","0","0","0","2024.3.1.7","2025-10-23","WC-GLP-NXA, WC-KER-NXA","00063373-2db4-cb89-6a84-7cc255eaac5e, 000619ac-5b08-796a-65ea-7cc255e25073","Customer","0013200001BbN8ZAAV",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-11696964","2025-07-25","2025-08-25","For Resale","Renewable","0","TRUE"
"WhiteCap Resources","LIC-02514804","2025-02-07","2028-02-05","software_only","VM","WC-STR-NXA","NCI Edge Pro","Activated","3.00","0.0","2.00","3.00","0.00","00061057-fe1d-855f-4235-3cecefdb38a6","-","PRISM.WCAP.CA","8606610f-7ab8-409d-9687-50bedb2cdb1f","25SW000403759",1,"SO-203382",1,"2025-02-06","Production",False,"NCI Edge","Not Applicable","SW-NCI-E-PRO-PR","0",3.0,"8.0","3.49 TiB","3.84 TB","4","6.10.1","2025-10-23","-","-","Customer","0013200001BbN8ZAAV",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-06486856","2024-02-22","2025-08-25","For Resale","Renewable","0","TRUE"
